Weighted Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD/tonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,crop,crop category,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KAZ,Apples,Perennial crops,205.6,159,104,127.6,151.8,105.5,98.8,73.9,84.4,91.8,126.4,149,167.8,163.3,465,335.3,376.3,494.2,505.9,635.3,702,569.2,366.4,397.1,420.8,512.7,462.2
KAZ,Barley,Seasonal crops,84,65.3,80.4,64.5,52.3,35.3,45.1,53.6,46.3,45.8,63,69.9,73,87.3,149,125.3,92.3,116,125,158.5,127.2,109.5,76.6,101.8,100.8,122.9,132.9
KAZ,Corn,Seasonal crops,202.1,132.2,101.6,109.8,84.8,58.5,65,72.05,70.84,68.17,91.06,103.45,107.45,123.04,176.63,157.67,152.83,184.69,193.85,200.52,163.4,155.39,114.09,114.77,113.58,152.96,177.24
KAZ,Cotton,Seasonal crops,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,374.6,501.8,352.9,672.7,631.9,514.3,518.6,444.5,410.6,371.5,453.7,503.8,503.8,503.8
KAZ,Grapes,Perennial crops,239.1,122.9,96.5,87.5,139.5,107.6,88.4,89.1,92.3,174.1,176.5,189.6,189.2,198.4,273.6,232.4,306.4,365.1,495.1,682.9,749.3,510.5,328.7,451.4,480.1,517.8,655.7
KAZ,Oil seeds and pulses,Seasonal crops,134.03,154.07,132.03,112.82,145.42,95.48,75.58,88.43,122.5,113.32,137.71,127.69,157.69,142.05,212.44,195.63,180.7,220.91,236.79,390.06,303.03,258.34,217.54,247.03,245.29,269.32,360.7
KAZ,Other crops,Seasonal crops,283.58,250.51,249.76,228.59,255.93,151.48,171.34,186.23,186.92,130.6,145.98,201.96,217.17,250.73,354.17,290.55,298.3,371.61,522.66,514.64,426.43,529.47,320.6,205.22,182.44,558.39,500.82
KAZ,Other grains,Seasonal crops,62.12,58.68,63.15,55.47,51.83,29.64,41.69,41.39,43.79,36.79,44.93,42.27,98.17,103.96,156.91,137.93,129.77,119.77,128.45,168.08,142.32,82.05,71.13,119.08,113.63,136.47,132.54
KAZ,Other orchards,Perennial crops,0,2.84,5.32,10.54,26.7,49.28,38.15,35.87,46.36,47.79,52.12,59.46,68.66,177.66,54,77.17,98.8,103.9,123.57,97.09,110.42,221.09,309.82,143.33,382.04,237.16,276.8
KAZ,Potatoes,Seasonal crops,366,252.8,260.2,207.4,174.6,129.6,129.6,112.3,102.5,139.6,154.3,165.1,212.8,281.8,370.1,314,305.8,412.3,308.8,323.8,290.7,232.8,136,158,180.3,182.7,182.1
